active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2024-04-20,22,-3,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,2479,8,26,1,6,5,6,5,2,7,1,0,5,1,11.2
True,2024-04-22,24,3,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,2276,8,29,1,6,7,9,0,8,6,0,0,1,3,10.5
True,2024-04-25,39,-14,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,LOSS,2725,13,27,3,7,10,12,0,2,13,0,0,4,3,29.0
True,2024-04-28,47,10,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2612,18,34,2,8,9,11,0,4,10,0,1,1,2,36.7
True,2024-04-30,40,-9,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,3051,15,32,4,11,6,9,0,3,6,3,0,4,3,25.3
True,2024-05-02,41,9,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2616,13,27,3,8,12,16,0,3,12,0,0,2,2,32.2
True,2024-05-06,43,12,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,2612,14,26,1,4,14,14,1,5,6,0,1,4,2,32.7
True,2024-05-08,29,26,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,1948,11,18,3,6,4,6,0,2,5,3,0,2,2,24.3
True,2024-05-10,26,-6,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,2307,10,26,2,6,4,7,0,0,6,1,0,5,2,10.0
True,2024-05-12,18,-27,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,1844,6,17,0,5,6,9,2,1,5,2,0,2,1,12.1
True,2024-05-14,44,31,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,2577,18,35,2,6,6,7,0,4,7,0,0,3,2,28.6
True,2024-05-17,31,-11,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,2253,11,26,3,8,6,9,0,1,5,0,0,1,2,18.0
True,2024-05-19,17,-9,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,1750,6,17,1,3,4,5,0,0,9,0,0,1,1,12.0
