Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,27-055,NYK,,BOS,L (-4),1,32:35,6,21,.286,3,8,.375,0,1,.000,1,2,3,6,3,0,2,3,15,7.6,-9
2,2,2023-10-27,27-057,NYK,@,ATL,W (+6),1,32:42,11,21,.524,8,12,.667,1,2,.500,0,3,3,5,0,0,2,1,31,22.3,+13
3,3,2023-10-28,27-058,NYK,@,NOP,L (-9),1,30:35,4,14,.286,1,5,.200,5,6,.833,1,3,4,5,0,0,1,2,14,8.7,-9
4,4,2023-10-31,27-061,NYK,@,CLE,W (+18),1,33:40,7,16,.438,1,3,.333,4,5,.800,0,5,5,2,2,0,5,1,19,9.7,+21
5,5,2023-11-01,27-062,NYK,,CLE,L (-6),1,38:36,8,23,.348,0,2,.000,8,9,.889,1,3,4,4,0,0,1,4,24,12.5,-6
6,6,2023-11-03,27-064,NYK,@,MIL,L (-5),1,41:37,17,30,.567,2,8,.250,9,11,.818,2,3,5,4,1,0,4,3,45,30.9,+2
7,7,2023-11-06,27-067,NYK,,LAC,W (+14),1,35:12,2,12,.167,1,3,.333,2,2,1.000,2,1,3,6,3,0,4,1,7,3.9,-1
8,8,2023-11-08,27-069,NYK,,SAS,W (+21),1,32:45,8,19,.421,5,8,.625,4,4,1.000,0,2,2,6,0,0,0,2,25,18.9,+27
9,9,2023-11-12,27-073,NYK,,CHO,W (+22),1,26:34,7,12,.583,2,4,.500,4,4,1.000,0,1,1,1,1,0,1,2,20,14.6,+13
10,10,2023-11-13,27-074,NYK,@,BOS,L (-16),1,38:46,10,21,.476,3,7,.429,3,5,.600,0,3,3,4,1,0,2,0,26,17.2,-20
11,11,2023-11-15,27-076,NYK,@,ATL,W (+2),1,40:58,8,19,.421,6,10,.600,2,2,1.000,0,0,0,8,0,0,3,2,24,15.7,+8
12,12,2023-11-17,27-078,NYK,@,WAS,W (+21),1,33:54,10,23,.435,6,10,.600,6,6,1.000,3,4,7,7,0,0,0,2,32,27.3,+18
13,13,2023-11-18,27-079,NYK,@,CHO,W (+14),1,38:52,12,21,.571,4,8,.500,4,4,1.000,0,4,4,7,0,0,2,2,32,25.4,+15
14,14,2023-11-20,27-081,NYK,@,MIN,L (-17),1,36:09,7,15,.467,3,6,.500,8,8,1.000,0,4,4,6,0,0,1,2,25,20.9,-16
15,15,2023-11-24,27-085,NYK,,MIA,W (+2),1,34:13,10,16,.625,1,4,.250,3,5,.600,0,3,3,3,0,0,2,1,24,16.6,-6
16,16,2023-11-26,27-087,NYK,,PHO,L (-3),1,38:13,15,25,.600,5,10,.500,0,2,.000,0,6,6,8,3,1,2,5,35,29.8,+5
17,17,2023-11-28,27-089,NYK,,CHO,W (+24),1,33:32,5,9,.556,2,5,.400,0,1,.000,1,2,3,7,3,0,2,3,12,13.3,+20
18,18,2023-11-30,27-091,NYK,,DET,W (+6),1,39:56,13,24,.542,7,12,.583,9,10,.900,2,4,6,8,1,0,1,3,42,37.0,+11
19,19,2023-12-01,27-092,NYK,@,TOR,W (+13),1,36:39,9,21,.429,3,8,.375,1,1,1.000,0,5,5,8,1,0,2,2,22,16.2,+15
20,20,2023-12-05,27-096,NYK,@,MIL,L (-24),1,34:14,10,22,.455,0,5,.000,4,7,.571,0,3,3,6,1,0,3,1,24,14.1,-14
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2023-12-08,27-099,NYK,@,BOS,L (-10),1,33:32,8,17,.471,0,5,.000,7,9,.778,0,1,1,4,1,0,1,3,23,15.4,-21
22,22,2023-12-11,27-102,NYK,,TOR,W (+6),1,37:34,7,12,.583,3,5,.600,4,6,.667,0,2,2,9,1,0,7,5,21,13.5,+1
23,23,2023-12-13,27-104,NYK,@,UTA,L (-4),1,39:00,6,19,.316,0,6,.000,11,16,.688,2,5,7,8,2,0,3,4,23,16.0,+9
24,24,2023-12-15,27-106,NYK,@,PHO,W (+17),1,35:14,17,23,.739,9,9,1.000,7,9,.778,1,5,6,9,5,0,2,0,50,51.4,+7
25,25,2023-12-16,27-107,NYK,@,LAC,L (-22),1,33:56,7,17,.412,2,5,.400,6,6,1.000,2,5,7,6,0,0,2,2,22,17.2,-25
26,26,2023-12-18,27-109,NYK,@,LAL,W (+5),1,36:44,10,21,.476,3,6,.500,6,6,1.000,1,3,4,3,1,1,4,0,29,19.7,+1
27,27,2023-12-20,27-111,NYK,@,BRK,W (+19),1,32:14,6,15,.400,1,3,.333,3,4,.750,1,6,7,8,1,0,3,0,16,13.6,+18
