active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-10-25,15,-9,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1955,6,21,3,8,0,1,1,2,6,3,0,2,3,7.6
True,2023-10-27,31,13,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1962,11,21,8,12,1,2,0,3,5,0,0,2,1,22.3
True,2023-10-28,14,-9,NEW YORK KNICKS,AWAY,NEW ORLEANS PELICANS,LOSS,1835,4,14,1,5,5,6,1,3,5,0,0,1,2,8.7
True,2023-10-31,19,21,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,2020,7,16,1,3,4,5,0,5,2,2,0,5,1,9.7
True,2023-11-01,24,-6,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,2316,8,23,0,2,8,9,1,3,4,0,0,1,4,12.5
True,2023-11-03,45,2,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,2497,17,30,2,8,9,11,2,3,4,1,0,4,3,30.9
True,2023-11-06,7,-1,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,WIN,2112,2,12,1,3,2,2,2,1,6,3,0,4,1,3.9
True,2023-11-08,25,27,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,1965,8,19,5,8,4,4,0,2,6,0,0,0,2,18.9
True,2023-11-12,20,13,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1594,7,12,2,4,4,4,0,1,1,1,0,1,2,14.6
True,2023-11-13,26,-20,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,2326,10,21,3,7,3,5,0,3,4,1,0,2,0,17.2
True,2023-11-15,24,8,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,2458,8,19,6,10,2,2,0,0,8,0,0,3,2,15.7
True,2023-11-17,32,18,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,2034,10,23,6,10,6,6,3,4,7,0,0,0,2,27.3
True,2023-11-18,32,15,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,2332,12,21,4,8,4,4,0,4,7,0,0,2,2,25.4
True,2023-11-20,25,-16,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2169,7,15,3,6,8,8,0,4,6,0,0,1,2,20.9
True,2023-11-24,24,-6,NEW YORK KNICKS,HOME,MIAMI HEAT,WIN,2053,10,16,1,4,3,5,0,3,3,0,0,2,1,16.6
True,2023-11-26,35,5,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,2293,15,25,5,10,0,2,0,6,8,3,1,2,5,29.8
True,2023-11-28,12,20,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,2012,5,9,2,5,0,1,1,2,7,3,0,2,3,13.3
True,2023-11-30,42,11,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,2396,13,24,7,12,9,10,2,4,8,1,0,1,3,37.0
True,2023-12-01,22,15,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,2199,9,21,3,8,1,1,0,5,8,1,0,2,2,16.2
True,2023-12-05,24,-14,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,2054,10,22,0,5,4,7,0,3,6,1,0,3,1,14.1
True,2023-12-08,23,-21,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,2012,8,17,0,5,7,9,0,1,4,1,0,1,3,15.4
