Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
29,30,1,2,3,4,5,,,,,,,,,,,,,,,,,
6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,
20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,
27,28,29,30,31,1,2,,,,,,,,,,,,,,,,,
29,30,1,2,3,4,5,,,,,,,,,,,,,,,,,
6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,
20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,
27,28,29,30,31,1,2,,,,,,,,,,,,,,,,,
BOS,BOS @ TOR,10/15/2024,L,240,118,38,92,41.3,18,55,32.7,24,28,85.7,8,28,36,19,10,5,7,15,-1
CHA,CHA @ NYK,10/15/2024,L,240,105,37,97,38.1,18,49,36.7,13,15,86.7,12,33,45,22,8,5,13,19,-6
TOR,TOR vs. BOS,10/15/2024,W,240,119,46,92,50.0,15,43,34.9,12,13,92.3,12,45,57,34,6,0,21,25,1
NOP,NOP @ HOU,10/15/2024,L,240,98,36,96,37.5,9,37,24.3,17,20,85.0,11,36,47,25,6,5,11,17,-20
MIA,MIA vs. SAS,10/15/2024,W,240,120,40,86,46.5,14,45,31.1,26,34,76.5,7,29,36,31,15,6,9,23,3
SAS,SAS @ MIA,10/15/2024,L,240,117,44,79,55.7,9,30,30.0,20,29,69.0,8,42,50,28,7,2,21,24,-3
NYK,NYK vs. CHA,10/15/2024,W,240,111,42,97,43.3,16,45,35.6,11,15,73.3,17,42,59,28,3,2,15,17,6
OKC,OKC @ DEN,10/15/2024,W,240,124,47,94,50.0,17,46,37.0,13,20,65.0,8,36,44,31,15,5,12,23,30
DEN,DEN vs. OKC,10/15/2024,L,240,94,35,84,41.7,10,40,25.0,14,25,56.0,12,35,47,25,6,3,24,18,-30
HOU,HOU vs. NOP,10/15/2024,W,240,118,46,97,47.4,12,37,32.4,14,27,51.9,16,46,62,30,8,5,12,13,20
SAC,SAC @ UTA,10/15/2024,L,240,114,45,105,42.9,10,38,26.3,14,19,73.7,20,24,44,32,16,2,11,24,-3
LAL,LAL vs. GSW,10/15/2024,L,240,97,34,95,35.8,11,40,27.5,18,21,85.7,15,35,50,20,10,5,12,12,-14
UTA,UTA vs. SAC,10/15/2024,W,240,117,38,71,53.5,14,35,40.0,27,30,90.0,7,34,41,21,5,12,25,16,3
GSW,GSW @ LAL,10/15/2024,W,240,111,44,96,45.8,14,45,31.1,9,11,81.8,13,42,55,33,7,5,14,22,14
MEM,MEM @ IND,10/14/2024,W,240,120,43,92,46.7,16,43,37.2,18,28,64.3,17,30,47,32,11,1,16,24,4
