Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,CLE,11,240.0,46.1,87.3,0.528,15.3,36.2,0.422,30.8,51.1,0.603,15.3,20.3,0.753,7.8,33.5,41.4,28.7,9.5,5.6,13.5,19.7,122.7
2.0,GSW,10,242.5,44.2,92.4,0.478,16.3,41.3,0.395,27.9,51.1,0.546,16.6,22.9,0.725,13.6,34.6,48.2,30.2,9.6,5.7,14.0,22.7,121.3
3.0,DEN,10,245.0,43.0,90.3,0.476,12.8,31.7,0.404,30.2,58.6,0.515,22.1,28.3,0.781,13.3,33.7,47.0,30.7,8.6,5.0,14.3,19.1,120.9
4.0,MEM,11,240.0,44.6,90.5,0.493,12.5,34.7,0.359,32.2,55.7,0.577,19.2,25.0,0.767,11.7,36.2,47.9,30.4,8.1,6.9,17.4,21.6,120.9
5.0,BOS,11,244.5,41.1,91.3,0.45,18.5,51.3,0.362,22.5,40.0,0.564,19.5,23.5,0.829,10.3,33.2,43.5,23.9,7.9,4.7,11.9,16.4,120.2
6.0,SAC,10,245.0,43.0,88.8,0.484,10.3,33.7,0.306,32.7,55.1,0.593,21.2,25.1,0.845,9.1,34.6,43.7,24.4,8.6,4.4,13.6,20.6,117.5
7.0,LAL,10,240.0,41.5,87.0,0.477,11.6,32.8,0.354,29.9,54.2,0.552,22.0,27.0,0.815,9.0,31.6,40.6,27.1,7.0,4.6,12.4,16.8,116.6
8.0,IND,10,245.0,43.2,87.3,0.495,12.4,33.1,0.375,30.8,54.2,0.568,17.4,23.1,0.753,8.3,31.7,40.0,28.3,7.4,4.4,14.2,22.6,116.2
9.0,ATL,11,240.0,41.5,89.4,0.464,12.6,36.0,0.351,28.8,53.4,0.54,20.5,26.5,0.777,11.0,31.5,42.5,28.0,10.1,5.2,15.6,19.8,116.1
10.0,OKC,10,240.0,43.1,93.4,0.461,13.7,38.6,0.355,29.4,54.8,0.536,15.8,19.8,0.798,9.4,35.0,44.4,25.5,12.0,7.2,12.4,21.2,115.7
11.0,TOR,11,244.5,43.5,92.9,0.468,10.7,32.5,0.331,32.7,60.5,0.541,17.6,23.5,0.749,13.5,30.4,43.8,29.7,8.2,5.0,16.3,25.6,115.3
12.0,CHI,10,240.0,41.3,90.7,0.455,15.5,41.9,0.37,25.8,48.8,0.529,16.7,22.2,0.752,10.6,36.2,46.8,28.3,7.2,3.8,16.0,17.6,114.8
13.0,PHO,10,245.0,40.4,85.9,0.47,15.4,41.2,0.374,25.0,44.7,0.559,18.6,23.5,0.791,8.4,36.1,44.5,27.4,7.4,5.5,13.8,18.5,114.8
14.0,NYK,9,240.0,42.6,86.8,0.49,13.6,34.3,0.395,29.0,52.4,0.553,15.8,19.4,0.811,10.0,31.6,41.6,25.4,6.9,3.6,12.4,17.4,114.4
15.0,DAL,10,240.0,42.8,90.5,0.473,12.7,36.5,0.348,30.1,54.0,0.557,15.8,20.6,0.767,10.8,33.4,44.2,25.6,7.7,4.6,11.7,21.8,114.1
16.0,MIN,10,240.0,40.8,85.3,0.478,16.4,41.7,0.393,24.4,43.6,0.56,15.8,20.4,0.775,9.7,32.6,42.3,26.4,7.2,4.8,16.5,19.7,113.8
17.0,HOU,10,242.5,41.2,94.9,0.434,11.7,36.7,0.319,29.5,58.2,0.507,17.7,23.5,0.753,14.9,33.0,47.9,21.5,7.9,4.2,12.3,22.1,111.8
18.0,BKN,10,245.0,40.0,86.6,0.462,14.0,40.2,0.348,26.0,46.4,0.56,17.2,21.6,0.796,9.4,30.5,39.9,26.0,7.5,3.5,15.0,24.8,111.2
19.0,MIL,10,240.0,40.3,84.8,0.475,12.6,35.4,0.356,27.7,49.4,0.561,17.4,24.1,0.722,8.4,35.0,43.4,21.5,6.5,5.0,13.8,19.8,110.6
20.0,WAS,8,240.0,39.6,90.4,0.438,11.9,38.4,0.309,27.8,52.0,0.534,18.9,23.4,0.807,9.6,32.3,41.9,25.9,8.3,7.0,15.1,23.4,110.0
21.0,CHA,10,242.5,39.3,90.9,0.432,16.0,45.6,0.351,23.3,45.3,0.514,14.9,18.8,0.793,12.7,33.3,46.0,22.3,7.4,5.0,16.2,22.4,109.5
22.0,MIA,9,240.0,38.6,87.4,0.441,14.6,37.3,0.39,24.0,50.1,0.479,17.3,23.3,0.743,10.7,32.3,43.0,25.4,9.4,4.7,13.2,17.4,109.0
23.0,LAC,10,242.5,39.5,84.5,0.467,12.1,32.1,0.377,27.4,52.4,0.523,17.4,23.0,0.757,11.9,33.9,45.8,25.0,8.3,4.6,17.2,21.0,108.5
24.0,ORL,11,240.0,38.2,86.5,0.442,11.8,38.8,0.304,26.4,47.6,0.553,19.8,25.7,0.77,10.5,32.5,43.0,24.7,8.6,6.0,14.9,19.6,108.0
25.0,NOH,10,240.0,39.2,88.2,0.444,11.5,31.8,0.362,27.7,56.4,0.491,17.3,22.0,0.786,11.7,28.8,40.5,23.8,8.4,5.7,15.0,17.5,107.2
26.0,DET,11,240.0,39.9,85.8,0.465,11.7,34.6,0.339,28.2,51.2,0.551,15.5,20.4,0.763,10.9,34.9,45.8,23.9,5.2,5.7,17.3,20.9,107.1
27.0,PHI,9,245.6,37.7,86.7,0.435,11.6,36.0,0.321,26.1,50.7,0.515,20.1,27.2,0.739,11.4,28.0,39.4,21.0,8.4,3.4,14.3,23.0,107.0
28.0,SAS,10,240.0,38.8,84.8,0.458,12.5,37.3,0.335,26.3,47.5,0.554,16.2,19.8,0.818,10.8,34.8,45.6,26.0,7.9,6.6,16.9,16.8,106.3
29.0,POR,11,240.0,38.9,91.4,0.426,10.1,33.4,0.302,28.8,58.0,0.497,17.6,23.4,0.755,13.4,30.7,44.1,20.6,8.6,5.5,16.1,18.8,105.5
30.0,UTH,9,240.0,35.7,85.0,0.42,11.8,37.2,0.316,23.9,47.8,0.5,21.9,27.4,0.798,11.9,33.8,45.7,23.6,7.0,5.8,19.3,18.4,105.0
