Name,Team,POS,Age,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
LeBron James,LAL,F,39.9,10,34.8,26.3,14.6,49,0.816,109,0.55,54,0.444,0.589,0.629,23.2,7.7,8.9,0.6,0.6,2.8,30.9,32.1,39.8,13.4,123.8,113.8
Chris Paul,SAN,G,39.5,10,28.4,16.4,21.5,11,1.0,26,0.615,54,0.37,0.575,0.607,10.3,3.6,8.1,1.1,0.1,2.2,13.9,18.4,22.0,9.4,123.3,108.2
Kyle Lowry,PHI,G,38.6,9,24.8,12.0,18.4,17,0.765,8,0.5,36,0.472,0.67,0.699,8.0,2.6,3.9,1.2,0.4,1.1,10.6,11.9,14.4,7.0,134.9,110.8
Kevin Durant,PHO,F,36.1,9,38.8,27.4,15.7,55,0.836,105,0.619,56,0.429,0.627,0.67,27.6,6.6,3.4,0.8,1.4,3.3,34.1,31.0,37.6,8.8,116.5,110.9
Al Horford,BOS,C-F,38.4,10,26.7,12.5,13.1,3,1.0,20,0.6,46,0.435,0.636,0.646,8.7,5.7,2.4,1.1,0.7,1.0,14.4,11.1,16.8,7.4,126.5,105.5
Mike Conley,MIN,G,37.1,10,23.4,17.5,14.7,15,0.933,25,0.32,50,0.3,0.407,0.46,7.5,2.9,4.6,1.3,0.3,1.3,10.4,12.1,15.0,7.9,109.4,104.9
Russell Westbrook,DEN,G,36.0,10,24.6,24.1,20.6,47,0.702,63,0.381,33,0.303,0.406,0.476,11.1,4.0,5.4,1.5,0.6,2.5,15.1,16.5,20.5,10.1,102.0,105.2
Eric Gordon,PHI,G,35.9,8,20.6,14.5,18.6,16,0.75,16,0.5,23,0.304,0.474,0.532,6.1,0.8,1.5,0.1,0.3,1.1,6.9,7.6,8.4,3.8,101.9,118.8
Brook Lopez,MIL,C,36.6,10,30.5,15.2,15.1,15,0.733,37,0.541,47,0.277,0.47,0.497,9.0,4.6,1.6,1.0,2.1,1.5,13.6,10.6,15.2,5.3,97.2,111.6
Nicolas Batum,LAC,G-F,35.9,10,18.3,9.9,10.2,6,0.667,11,0.545,24,0.292,0.471,0.491,3.7,2.9,2.0,0.6,0.8,0.4,6.6,5.7,8.6,6.1,117.2,101.6
James Harden,LAC,G,35.2,10,34.9,31.4,23.8,79,0.861,85,0.424,81,0.296,0.434,0.528,21.2,8.1,9.0,1.7,1.0,5.2,29.3,30.2,38.3,13.3,104.4,102.4
Stephen Curry,GOL,G,36.7,7,28.3,30.2,19.0,28,0.964,44,0.523,62,0.435,0.599,0.651,22.0,4.6,6.3,1.9,0.4,3.6,26.6,28.3,32.9,12.2,120.1,106.2
DeMar DeRozan,SAC,G-F,35.3,10,38.3,25.6,10.6,66,0.864,153,0.549,24,0.375,0.551,0.612,25.2,3.6,4.0,1.8,0.4,2.1,28.8,29.2,32.8,7.4,120.0,111.2
James Johnson,IND,F,37.7,2,3.0,22.3,33.3,0,0.0,1,1.0,1,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,1.0,1.5,1.5,0.0,0.0,0.0
Jrue Holiday,BOS,G,34.4,11,30.8,17.1,13.3,17,0.824,53,0.585,57,0.386,0.582,0.604,12.9,3.8,3.7,0.4,0.2,1.5,16.7,16.6,20.5,7.4,119.6,109.5
Patty Mills,UTA,G,36.2,9,15.3,12.1,20.3,3,1.0,7,0.571,24,0.292,0.468,0.495,3.6,0.9,1.4,0.7,0.2,0.9,4.4,5.0,5.9,4.3,94.8,116.3
Garrett Temple,TOR,G-F,38.5,2,4.4,9.4,0.0,0,0.0,1,1.0,1,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.0,1.0,2.0,2.0,0.0,137.7,99.9
Kyrie Irving,DAL,G,32.6,10,35.6,25.5,8.2,37,0.865,120,0.533,58,0.552,0.629,0.659,25.6,4.8,4.8,1.6,0.3,1.6,30.4,30.4,35.2,9.4,131.5,111.5
Tristan Thompson,CLE,C-F,33.7,5,5.3,18.5,22.2,5,0.0,7,0.714,0,0.0,0.714,0.543,2.0,1.0,0.2,0.0,0.0,0.4,3.0,2.2,3.2,5.6,81.5,111.4
Jonas Valanciunas,WAS,C,32.5,8,21.0,23.2,18.7,20,0.9,66,0.606,3,0.333,0.601,0.649,12.6,7.1,2.6,0.5,0.6,2.0,19.8,15.3,22.4,11.7,119.3,114.0
Klay Thompson,DAL,G,34.8,10,30.1,19.1,6.1,7,1.0,40,0.55,82,0.354,0.537,0.552,13.8,3.7,2.0,0.6,0.2,0.8,17.5,15.8,19.5,6.2,112.4,114.0
Alec Burks,MIA,G,33.3,5,18.3,10.4,4.7,2,1.0,6,0.167,14,0.643,0.725,0.742,6.2,1.6,1.8,0.6,0.2,0.2,7.8,8.0,9.6,5.7,152.9,117.9
Nikola Vucevic,CHI,C,34.0,10,31.9,21.8,10.1,25,0.88,98,0.633,44,0.477,0.658,0.683,20.9,10.3,3.2,0.6,0.8,1.6,31.2,24.1,34.4,11.1,131.2,108.5
Tobias Harris,DET,F,32.3,11,32.8,18.3,11.7,22,0.773,82,0.585,46,0.261,0.516,0.541,13.5,7.5,2.4,0.8,1.4,1.5,21.1,15.9,23.5,7.6,107.3,104.4
Reggie Jackson,PHI,G,34.6,4,7.4,22.1,13.3,0,0.0,5,0.0,8,0.25,0.231,0.231,1.5,0.5,1.8,0.3,0.0,0.5,2.0,3.3,3.8,6.0,68.4,106.0
Cory Joseph,ORL,G,33.2,7,4.3,19.9,7.1,0,0.0,3,0.0,10,0.4,0.462,0.462,1.7,0.7,0.7,0.1,0.3,0.1,2.4,2.4,3.1,8.8,108.2,105.6
Jimmy Butler,MIA,F,35.2,8,30.5,22.8,13.4,56,0.732,77,0.532,13,0.154,0.489,0.563,16.1,4.8,4.9,1.5,0.3,1.8,20.9,21.0,25.8,9.5,121.8,113.8
Anthony Davis,LAL,F-C,31.7,9,35.1,31.8,10.6,102,0.794,151,0.603,17,0.353,0.595,0.66,31.2,10.4,2.8,1.3,2.0,2.2,41.7,34.0,44.4,11.0,128.1,112.3
Bradley Beal,PHO,G,31.4,8,35.4,19.9,8.5,22,0.773,54,0.574,53,0.358,0.556,0.583,17.0,4.1,3.6,1.4,0.9,1.3,21.1,20.6,24.8,7.1,116.5,108.7
Damian Lillard,MIL,G,34.3,10,35.8,29.3,13.1,77,0.909,86,0.547,92,0.348,0.534,0.614,26.0,4.6,6.6,1.0,0.2,2.7,30.6,32.6,37.2,10.3,122.6,115.0
Andre Drummond,PHI,C,31.3,9,26.2,19.0,22.7,34,0.529,64,0.516,4,0.25,0.507,0.524,9.7,10.7,0.4,1.6,0.4,2.2,20.3,10.1,20.8,5.3,99.4,98.1
Harrison Barnes,SAN,F,32.4,10,28.5,13.5,12.3,17,0.824,39,0.641,32,0.344,0.585,0.618,9.7,3.5,1.5,0.3,0.2,1.0,13.2,11.2,14.7,5.2,121.8,117.4
Draymond Green,GOL,F,34.7,10,27.2,13.9,25.2,27,0.704,28,0.429,31,0.452,0.559,0.6,8.5,5.1,5.1,0.9,1.0,2.0,13.6,13.6,18.7,8.9,118.9,98.1
Alex Len,SAC,C,31.4,7,8.7,9.8,40.9,4,0.5,5,0.6,2,0.0,0.429,0.457,1.1,2.7,0.9,0.3,1.0,0.7,3.9,2.0,4.7,6.4,75.7,96.5
CJ McCollum,NOR,G,33.1,4,34.2,23.5,10.9,6,0.667,31,0.516,34,0.382,0.546,0.554,18.8,3.5,4.0,2.3,1.0,2.0,22.3,22.8,26.3,7.5,109.0,118.3
Dennis Schroder,BRO,G,31.2,10,35.2,23.3,15.1,32,0.875,79,0.506,67,0.463,0.592,0.628,20.1,2.9,6.6,1.5,0.0,2.6,23.0,26.7,29.6,8.3,120.3,110.0
Kentavious Caldwell-Pope,ORL,G,31.7,11,29.3,11.7,7.4,17,1.0,24,0.542,51,0.216,0.393,0.461,6.9,2.5,1.9,1.5,0.7,0.5,9.4,8.8,11.3,4.4,103.1,104.8
Mason Plumlee,PHO,F-C,34.7,10,17.0,10.3,16.6,21,0.476,25,0.68,0,0.0,0.68,0.643,4.4,5.1,1.5,0.4,0.5,0.5,9.5,5.9,11.0,7.6,134.9,100.9
Rudy Gobert,MIN,C,32.4,10,31.6,13.0,19.4,29,0.793,66,0.652,0,0.0,0.652,0.692,10.9,10.7,1.9,0.5,1.4,1.6,21.6,12.8,23.5,7.7,131.6,101.1
