Team,W,L,W/L%,GB,PS/G,PA/G,SRS
CLE,11,0,1.0,—,122.7,110.2,10.94
BOS,9,2,0.818,2.0,120.2,109.6,9.04
IND,5,5,0.5,5.5,116.2,118.8,-2.52
ORL,5,6,0.455,6.0,108.0,106.3,1.78
NYK,4,5,0.444,6.0,114.4,111.2,4.33
MIA,4,5,0.444,6.0,109.0,109.9,-0.73
BKN,4,6,0.4,6.5,111.2,112.3,0.93
CHI,4,6,0.4,6.5,114.8,120.3,-5.96
CHA,4,6,0.4,6.5,109.5,112.5,-2.73
DET,4,7,0.364,7.0,107.1,109.6,-1.54
ATL,4,7,0.364,7.0,116.1,121.6,-6.86
WAS,2,6,0.25,7.5,110.0,123.5,-10.57
PHI,2,7,0.222,8.0,107.0,114.6,-8.16
MIL,2,8,0.2,8.5,110.6,115.7,-2.65
TOR,2,9,0.182,9.0,115.3,122.7,-5.95
